Snakes & Ladders, Edition 2016

Results for the last month of the first semester of 2026

Received were 30 logs containing 1015 valid QSOs into 224 locator squares.

Among these squares, we had 86 candidate ladders (each with 1 QSO
only) from which the following 17 were randomly selected as ladders:

     IN72 IO52 IO64 IO70 JN15 JN27 JN70 JO86 JP66 JP82
     KN05 KN47 KN59 KO59 KP12 KP32 KP33 

Furthermore we had 46 candidate snakes (each with more than 5 QSOs), of which
the following 4 were randomly selected as snakes:

     JN35 JN76 JO40 JO89 

This leads to the following scores:

Call, Name       Total score|      1|      2|      3|      4|      5|      6|
============================|=======|=======|=======|=======|=======|=======|
DJ6UX, Eddi             2379|    342|    291|    369|    489|    489|    399|
DL0MUR, Martin           155|     54|     41|     15|     22|     23|      0|
DL1DHM, Hanns            113|     16|     58|      0|      0|      0|     39|
DL1DXL, Lothar           480|    100|     70|     60|     72|     94|     84|
DL1GBZ, Martin           746|     97|     73|     51|    250|    128|    147|
DL1HBL, Claus             65|     18|      6|      8|     18|      9|      6|
DL3GJ, Greg                8|      3|      4|      0|      0|      1|      0|
DM4RW, Robert              9|      0|      0|      0|      0|      6|      3|
F4GOU, Tom               960|    216|    239|     90|    171|     63|    181|
F5IYJ, Philippe           20|     10|      7|      3|      0|      0|      0|
F5LKK, Serge              17|      6|      5|      0|      5|      1|      0|
F5NSO, Francois          473|    154|    113|    113|     33|     31|     29|
F5POJ, Philippe         2062|    456|    874|    398|    334|      0|      0|
F8EHJ, Herve               6|      4|      1|      1|      0|      0|      0|
G0DJA, David            1302|    234|    620|    360|     69|      8|     11|
G0FOZ, Simon             333|     87|     78|     50|     47|     71|      0|
G0UBE, John              593|     21|      9|     51|     91|    159|    262|
G3EEC, Danny              37|     18|      0|      5|     14|      0|      0|
G3PCL, Michael            21|      3|      5|      0|      5|      1|      7|
G3XVL, Chris             116|     44|     41|     15|      0|     10|      6|
G4BFG, Ciemon             29|     22|      7|      0|      0|      0|      0|
G4KKU, Andy              286|     64|     54|     49|     29|     38|     52|
I0YQX, Italo              15|      0|      8|      5|      2|      0|      0|
I2CZQ, Peter             694|      0|    124|    136|    242|    192|      0|
I5ECW, Vanni             183|     19|     23|     32|     30|     57|     22|
IK1WNO, Enrico           159|      7|     28|     38|     30|     21|     35|
IK5WOB, Fabrizio         346|     80|     52|     56|     90|     48|     20|
IN3FHE, Helga             75|      1|     11|      7|      5|     48|      3|
IU2KBN, Paolo            164|     29|     18|     22|     45|     32|     18|
IU8OJT, Marco            172|    116|     56|      0|      0|      0|      0|
IW2JJS, Giorgio           19|      9|      6|      3|      0|      0|      1|
IZ2FME, Michele          189|     34|     32|     18|     29|     29|     47|
IZ5BBS, Renato           925|    150|    146|    223|    133|    154|    119|
IZ5JLW, Lele             139|     18|     38|     11|     41|     26|      5|
IZ5LZP, Fabio             28|      2|      4|      0|      9|     13|      0|
IZ7EBY, Tony              97|      0|      0|      0|     61|     25|     11|
M0KTZ, Enzo              827|    173|     81|    167|    103|    170|    133|
M0YRU, Stephen             1|      0|      0|      0|      1|      0|      0|
M5ABN, Pete              241|     22|     22|      0|     27|     73|     97|
M9PHL, Phil                8|      0|      8|      0|      0|      0|      0|
MM0UMH, Les              193|     24|     62|     38|     21|     22|     26|
OH7QR, Erkki             255|     22|     38|     11|     15|     89|     80|
OK2BMA, Pavel             38|     32|      0|      0|      6|      0|      0|
PA7RA, Rien              596|    116|     70|     44|     97|    166|    103|
PG4I, Joop              1155|    137|    162|    321|    173|    149|    213|
YL3JD, Hanz              107|     10|     14|     25|     29|      6|     23|
============================|=======|=======|=======|=======|=======|=======|

Thanks for participating, good luck and hopefully I'll see you back next month.

vy73,
DM4RW mgr S&L
